Institution,Alt Course,RPI Course
ADELPHI UNIVERSITY,ABC372 THE ROLE OF RACE IN CONTEMPORARY U.S. AND GLOBAL SOCIETY (3),STSO 4000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ADELPHI UNIVERSITY,ARH260 FROM DISNEY TO BURTON AND BEYOND: THE HIS OF ANIMATION (3),LITR 2000 LITERATURE ELECTIVE ()
ADELPHI UNIVERSITY,BIO204 HUMAN ANATOMY AND PHYSIOLOGY II (4),BIOL 2000 BIOLOGY ELECTIVE ()
ADELPHI UNIVERSITY,BIO208 MICROBIOLOGY (3),BIOL 2000 BIOLOGY ELECTIVE ()
ADELPHI UNIVERSITY,CHE181 SAFETY IN LABORATORY AND STUDIO (1),NT NOT TRANSFERABLE
ADELPHI UNIVERSITY,CSC156 DISCRETE STRUCTURES (3),NT NOT TRANSFERABLE
ADELPHI UNIVERSITY,CSC170 INTRO TO COMPS AND THEIR APPLICATIONS (3),NT NOT TRANSFERABLE
ADELPHI UNIVERSITY,CSC171 INTRO TO COMP PROGRAMMING (LECTURE) (4),CSCI 1100 COMPUTER SCIENCE I (4)
ADELPHI UNIVERSITY,CSC190 COMP SCI ORIENTATION SEMINAR (1),NT NOT TRANSFERABLE
ADELPHI UNIVERSITY,ECA111 THE PRICE SYSTEM (3),ECON 1000 ECONOMICS ELECTIVE ()
ADELPHI UNIVERSITY,HIS206 HISTORY OF EAST ASIA I (3),STSO 2000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ADELPHI UNIVERSITY,MTH113 SURVEY OF STATISTICS (3),MGMT 1000 MANAGEMENT ELECTIVE ()
ADELPHI UNIVERSITY,MTH142 CALCULUS II (4),NT NOT TRANSFERABLE
ADELPHI UNIVERSITY,MUA136 MUSIC TECHNOLOGY I (3),ARTS 2020 MUSIC AND TECHNOLOGY I (4)
ADELPHI UNIVERSITY,PHY113 PHYSICS FOR SCIENCE MAJORS I (4),PHYS 1100 PHYSICS I (M) (4)
ADELPHI UNIVERSITY,PHY114 PHYSICS FOR SCIENCE MAJORS II (4),PHYS 1200 PHYSICS II (4)
ADELPHI UNIVERSITY,SPA111 LEVEL I SPANISH (3.00),LANG 1000 FOREIGN LANGUAGES ELECTIVE ()
ADELPHI UNIVERSITY,SPA112 LEVEL II SPANISH (3.00),LANG 1000 FOREIGN LANGUAGES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,ART 222 GRAPHIC ARTS I (3.000),COMM 2660 INTRODUCTION TO GRAPHIC DESIGN (4)
ADIRONDACK COMMUNITY COLLEGE,CHM 105 ENVIRONMENTAL SCIENCE (0.000 OR 4.000),IENV 1000 INTERDISCIPLINARY ENVIRONMENTAL COURSES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,CIS 131 INTRODUCTION TO NETWORKING (3.000),NT NOT TRANSFERABLE
ADIRONDACK COMMUNITY COLLEGE,CIS 143 INTRODUCTION TO PROGRAMMING (3.000),NT NOT TRANSFERABLE
ADIRONDACK COMMUNITY COLLEGE,"CIS 144 INTERMEDIATE PROGRAMMING IN A WINDOWS ENVIRONMENT (3.000)
CIS 243 DATA STRUCTURES AND OBJECTS IN C++ (4.000)",CSCI 1100 COMPUTER SCIENCE I (4)
ADIRONDACK COMMUNITY COLLEGE,"CIS 150 TOPICS IN COMPUTING (3.000)
CIS 244 COMPUTER SYSTEMS AND PROGRAMMING (3.000)",CSCI 2500 COMPUTER ORGANIZATION (4)
ADIRONDACK COMMUNITY COLLEGE,ECO 101 INTRODUCTION TO PERSONAL FINANCE (3.000),MGMT 1000 MANAGEMENT ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,ECO 201 PRINCIPLES OF MACROECONOMICS (3.000),ECON 1000 ECONOMICS ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,EGR 105 ENGINEERING PHYSICS I (0.000 OR 4.000),ENGR 1000 ENGINEERING ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,EGR 109 ENGINEERING GRAPHICS AND CAD (3.000),ENGR 1200 ENGINEERING GRAPHICS AND CAD (1)
ADIRONDACK COMMUNITY COLLEGE,EGR 120 INTRODUCTION TO ENGINEERING (3.000),ENGR 1000 ENGINEERING ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,EGR 183 DIGITAL LOGIC DESIGN (0.000 OR 3.000),ENGR 1000 ENGINEERING ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,EGR 207 MECHANICS I - STATICS (3.000),ENGR 1100 INTRODUCTION TO ENGINEERING ANALYSIS (4)
ADIRONDACK COMMUNITY COLLEGE,EGR 208 DYNAMICS (3.000),ENGR 2090 ENGINEERING DYNAMICS (4)
ADIRONDACK COMMUNITY COLLEGE,EGR 209 MECHANICS II - MECHANICS OF MATERIALS (3.000),ENGR 2530 STRENGTH OF MATERIALS (4)
ADIRONDACK COMMUNITY COLLEGE,EGR 210 THERMODYNAMICS (3.000),"MANE 2710 THERMODYNAMICS (3)
PHYS 2000 PHYSICS ELECTIVE ()"
ADIRONDACK COMMUNITY COLLEGE,EGR 222 CIRCUIT ANALYSIS (0.000 TO 4.000),ECSE 2010 ELECTRIC CIRCUITS (4)
ADIRONDACK COMMUNITY COLLEGE,EGR 223 MICROPROCESSOR ARCHITECTURE (4.000),ECSE 2610 COMPUTER COMPONENTS AND OPERATIONS (4)
ADIRONDACK COMMUNITY COLLEGE,ENG 101 INTRODUCTION TO COLLEGE WRITING (3.000),WRIT 1000 WRITING ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,ENG 106 WRITING IN AND ABOUT THE PERFORMING AND VISUAL ARTS (3.000),WRIT 1000 WRITING ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,ENG 108 WRITING IN AND ABOUT LITERATURE (3.000),LITR 1000 LITERATURE ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,ENG 109 ELEMENTS OF CREATIVE WRITING (3.000),WRIT 1769 INTRODUCTION TO CREATIVE WRITING (4)
ADIRONDACK COMMUNITY COLLEGE,FRN 201 INTERMEDIATE FRENCH I (3.000),LANG 2000 FOREIGN LANGUAGES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,FRN 202 INTERMEDIATE FRENCH II (3.000),LANG 2000 FOREIGN LANGUAGES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,HIS 102 WESTERN CIVILIZATION FRENCH REVOLUTION TO PRESENT (3.000),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,HIS 103 THE UNITED STATES TO 1877 (3.000),STSO 1000 SCIENCE AND TECHNOLOGY STUDIES ELECTIVE ()
ADIRONDACK COMMUNITY COLLEGE,HRD 110 FIRST YEAR SEMINAR (1.000),NT NOT TRANSFERABLE
ADIRONDACK COMMUNITY COLLEGE,MAT 129 DISCRETE MATHEMATICS (3.000),CSCI 2200 FOUNDATIONS OF COMPUTER SCIENCE (4)
ADIRONDACK COMMUNITY COLLEGE,MAT 131 CALCULUS I (4.000),MATH 1010 CALCULUS I (4)
ADIRONDACK COMMUNITY COLLEGE,MAT 132 CALCULUS II (4.000),NT NOT TRANSFERABLE
ADIRONDACK COMMUNITY COLLEGE,PHY 111 GENERAL PHYSICS I (0.000 TO 4.000),NT NOT TRANSFERABLE
